class_id,image_tag,state,updated_at,total_task_duration,tat,task_id,action_history,task_image_tag,finalized,approved,team,started_at,ended_at,task_duration_mins,rejection,car_name,inactivity_duration,Month,Deviation,,Standard Deviations
1030,Car ahead,PROCESSED,2021-01-04 19:40:20.696275+00,2.7,32.6,2046,494,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:38:54.458492+00,2021-01-04 19:39:24.68769+00,0.5,NULL,Tesla Model X,32.6,01-2021,-0.34,,
1031,Clear,PROCESSED,2021-01-04 19:40:20.736958+00,2.3,32.6,1946,522,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.252307+00,2021-01-03 11:05:21.252309+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1031,Clear,PROCESSED,2021-01-04 19:40:20.736958+00,2.3,32.6,1995,522,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:28:48.029395+00,2021-01-04 15:30:43.026978+00,1.9,NULL,Tesla Model X,32.6,01-2021,0.08,,
1031,Clear,PROCESSED,2021-01-04 19:40:20.736958+00,2.3,32.6,2045,522,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:38:28.961044+00,2021-01-04 19:38:54.310261+00,0.4,NULL,Tesla Model X,32.6,01-2021,-0.44,,
1032,Clear,PROCESSED,2021-01-04 19:40:20.763563+00,2.2,32.6,1951,527,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.332467+00,2021-01-03 11:05:21.332469+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1032,Clear,PROCESSED,2021-01-04 19:40:20.763563+00,2.2,32.6,1994,527,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:24:09.924126+00,2021-01-04 15:25:59.223499+00,1.8,NULL,Tesla Model X,32.6,01-2021,-0.02,,
1032,Clear,PROCESSED,2021-01-04 19:40:20.763563+00,2.2,32.6,2044,527,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:38:01.983116+00,2021-01-04 19:38:28.844001+00,0.4,NULL,Tesla Model X,32.6,01-2021,-0.44,,
1033,Clear,PROCESSED,2021-01-04 19:40:20.78873+00,2.1,32.6,1917,493,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.800292+00,2021-01-03 11:05:20.800294+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1033,Clear,PROCESSED,2021-01-04 19:40:20.78873+00,2.1,32.6,1993,493,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:22:24.495466+00,2021-01-04 15:24:09.773388+00,1.8,NULL,Tesla Model X,32.6,01-2021,-0.02,,
1033,Clear,PROCESSED,2021-01-04 19:40:20.78873+00,2.1,32.6,2043,493,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:37:41.040686+00,2021-01-04 19:38:01.772887+00,0.3,NULL,Tesla Model X,32.6,01-2021,-0.54,,
1034,Traffic light,PROCESSED,2021-01-04 19:40:20.877292+00,3.2,32.6,1941,517,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.175915+00,2021-01-03 11:05:21.175917+00,0,NULL,Tesla Model X,32.5,01-2021,0.00,,
1034,Traffic light,PROCESSED,2021-01-04 19:40:20.877292+00,3.2,32.6,1992,517,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 15:19:42.558047+00,2021-01-04 15:22:24.36976+00,2.7,NULL,Tesla Model X,32.5,01-2021,0.88,,
1034,Traffic light,PROCESSED,2021-01-04 19:40:20.877292+00,3.2,32.6,2042,517,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:37:09.950096+00,2021-01-04 19:37:40.936288+00,0.5,NULL,Tesla Model X,32.5,01-2021,-0.34,,
1035,Stop sign,PROCESSED,2021-01-04 19:40:20.929535+00,1.6,32.6,1945,521,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.232674+00,2021-01-03 11:05:21.232676+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1035,Stop sign,PROCESSED,2021-01-04 19:40:20.929535+00,1.6,32.6,1991,521,Stop sign,FALSE,TRUE,sanfrancisco,2021-01-04 15:18:20.72128+00,2021-01-04 15:19:42.404565+00,1.4,NULL,Tesla Model X,32.6,01-2021,-0.42,,
1035,Stop sign,PROCESSED,2021-01-04 19:40:20.929535+00,1.6,32.6,2041,521,Stop sign,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:36:56.696202+00,2021-01-04 19:37:09.830256+00,0.2,NULL,Tesla Model X,32.6,01-2021,-0.64,,
1036,Clear,PROCESSED,2021-01-04 19:40:20.959676+00,1.4,32.6,1916,492,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.786347+00,2021-01-03 11:05:20.78635+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1036,Clear,PROCESSED,2021-01-04 19:40:20.959676+00,1.4,32.6,1990,492,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:17:17.041854+00,2021-01-04 15:18:20.561816+00,1.1,NULL,Tesla Model X,32.6,01-2021,-0.72,,
1036,Clear,PROCESSED,2021-01-04 19:40:20.959676+00,1.4,32.6,2040,492,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:36:39.168553+00,2021-01-04 19:36:56.560541+00,0.3,NULL,Tesla Model X,32.6,01-2021,-0.54,,
1037,Traffic light,PROCESSED,2021-01-04 19:40:20.986415+00,3,32.6,1936,512,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.099718+00,2021-01-03 11:05:21.099719+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1037,Traffic light,PROCESSED,2021-01-04 19:40:20.986415+00,3,32.6,1989,512,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 15:14:46.389683+00,2021-01-04 15:17:16.875626+00,2.5,NULL,Tesla Model X,32.6,01-2021,0.68,,
1037,Traffic light,PROCESSED,2021-01-04 19:40:20.986415+00,3,32.6,2039,512,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:36:06.636226+00,2021-01-04 19:36:39.052775+00,0.5,NULL,Tesla Model X,32.6,01-2021,-0.34,,
1038,Clear,PROCESSED,2021-01-04 19:40:21.013828+00,2.5,32.6,1935,511,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.080464+00,2021-01-03 11:05:21.080466+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1038,Clear,PROCESSED,2021-01-04 19:40:21.013828+00,2.5,32.6,1988,511,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:12:42.671447+00,2021-01-04 15:14:46.22605+00,2.1,NULL,Tesla Model X,32.6,01-2021,0.28,,
1038,Clear,PROCESSED,2021-01-04 19:40:21.013828+00,2.5,32.6,2038,511,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:35:44.744644+00,2021-01-04 19:36:06.509556+00,0.4,NULL,Tesla Model X,32.6,01-2021,-0.44,,
1039,Clear,PROCESSED,2021-01-04 19:40:21.099567+00,2.9,32.6,1930,506,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.001939+00,2021-01-03 11:05:21.001941+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1039,Clear,PROCESSED,2021-01-04 19:40:21.099567+00,2.9,32.6,1987,506,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:10:21.592515+00,2021-01-04 15:12:42.504319+00,2.3,NULL,Tesla Model X,32.6,01-2021,0.48,,
1039,Clear,PROCESSED,2021-01-04 19:40:21.099567+00,2.9,32.6,2037,506,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:35:07.910652+00,2021-01-04 19:35:44.621734+00,0.6,NULL,Tesla Model X,32.6,01-2021,-0.24,,
1040,Car ahead,PROCESSED,2021-01-04 19:45:20.677159+00,3.5,32.7,1942,518,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.188153+00,2021-01-03 11:05:21.188156+00,0,NULL,Tesla Model X,32.6,01-2021,0.00,,
1040,Car ahead,PROCESSED,2021-01-04 19:45:20.677159+00,3.5,32.7,1997,518,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 15:32:54.539572+00,2021-01-04 15:35:37.538645+00,2.7,NULL,Tesla Model X,32.6,01-2021,0.88,,
1040,Car ahead,PROCESSED,2021-01-04 19:45:20.677159+00,3.5,32.7,2047,518,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:43:27.858168+00,2021-01-04 19:44:18.197975+00,0.8,NULL,Tesla Model X,32.6,01-2021,-0.04,,
1041,Car ahead,PROCESSED,2021-01-04 20:00:20.677005+00,2.4,32.9,1943,519,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.200676+00,2021-01-03 11:05:21.200679+00,0,NULL,Tesla Model X,32.9,01-2021,0.00,,
1041,Car ahead,PROCESSED,2021-01-04 20:00:20.677005+00,2.4,32.9,2001,519,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 15:54:45.614541+00,2021-01-04 15:56:46.87554+00,2,NULL,Tesla Model X,32.9,01-2021,0.18,,
1041,Car ahead,PROCESSED,2021-01-04 20:00:20.677005+00,2.4,32.9,2054,519,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:59:19.965351+00,2021-01-04 19:59:45.102845+00,0.4,NULL,Tesla Model X,32.9,01-2021,-0.44,,
1042,Clear,PROCESSED,2021-01-04 20:00:20.701432+00,1.3,32.9,1953,529,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.357626+00,2021-01-03 11:05:21.357628+00,0,NULL,Tesla Model X,32.9,01-2021,0.00,,
1042,Clear,PROCESSED,2021-01-04 20:00:20.701432+00,1.3,32.9,2000,529,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:53:49.865498+00,2021-01-04 15:54:45.480758+00,0.9,NULL,Tesla Model X,32.9,01-2021,-0.92,,
1042,Clear,PROCESSED,2021-01-04 20:00:20.701432+00,1.3,32.9,2053,529,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:58:58.012574+00,2021-01-04 19:59:19.840229+00,0.4,NULL,Tesla Model X,32.9,01-2021,-0.44,,
1043,Traffic light,PROCESSED,2021-01-04 20:00:20.728421+00,4.1,32.9,1931,507,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.021324+00,2021-01-03 11:05:21.021325+00,0,NULL,Tesla Model X,32.8,01-2021,0.00,,
1043,Traffic light,PROCESSED,2021-01-04 20:00:20.728421+00,4.1,32.9,1999,507,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 15:41:29.584703+00,2021-01-04 15:45:12.951884+00,3.7,NULL,Tesla Model X,32.8,01-2021,1.88,,
1043,Traffic light,PROCESSED,2021-01-04 20:00:20.728421+00,4.1,32.9,2052,507,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:58:32.420619+00,2021-01-04 19:58:57.91323+00,0.4,NULL,Tesla Model X,32.8,01-2021,-0.44,,
1044,Traffic light,PROCESSED,2021-01-04 20:00:20.756548+00,2.4,32.9,1952,528,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.344648+00,2021-01-03 11:05:21.34465+00,0,NULL,Tesla Model X,32.9,01-2021,0.00,,
1044,Traffic light,PROCESSED,2021-01-04 20:00:20.756548+00,2.4,32.9,1998,528,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 15:39:44.979045+00,2021-01-04 15:41:29.402145+00,1.7,NULL,Tesla Model X,32.9,01-2021,-0.12,,
1044,Traffic light,PROCESSED,2021-01-04 20:00:20.756548+00,2.4,32.9,2051,528,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:57:52.86323+00,2021-01-04 19:58:32.30998+00,0.7,NULL,Tesla Model X,32.9,01-2021,-0.14,,
1045,Traffic light,PROCESSED,2021-01-04 20:05:20.677521+00,2.9,33,1921,497,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.870747+00,2021-01-03 11:05:20.870749+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1045,Traffic light,PROCESSED,2021-01-04 20:05:20.677521+00,2.9,33,2010,497,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 16:08:42.749693+00,2021-01-04 16:11:04.737455+00,2.4,NULL,Tesla Model X,33.0,01-2021,0.58,,
1045,Traffic light,PROCESSED,2021-01-04 20:05:20.677521+00,2.9,33,2066,497,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:04:38.389889+00,2021-01-04 20:05:08.373453+00,0.5,NULL,Tesla Model X,33.0,01-2021,-0.34,,
1046,Clear,PROCESSED,2021-01-04 20:05:20.703003+00,1.7,33,1934,510,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.058245+00,2021-01-03 11:05:21.058247+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1046,Clear,PROCESSED,2021-01-04 20:05:20.703003+00,1.7,33,2009,510,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 16:07:19.693586+00,2021-01-04 16:08:42.602077+00,1.4,NULL,Tesla Model X,33.0,01-2021,-0.42,,
1046,Clear,PROCESSED,2021-01-04 20:05:20.703003+00,1.7,33,2065,510,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:04:21.514987+00,2021-01-04 20:04:38.235183+00,0.3,NULL,Tesla Model X,33.0,01-2021,-0.54,,
1047,Clear,PROCESSED,2021-01-04 20:05:20.733565+00,2.2,33,1933,509,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.045471+00,2021-01-03 11:05:21.045473+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1047,Clear,PROCESSED,2021-01-04 20:05:20.733565+00,2.2,33,2008,509,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 16:05:52.290894+00,2021-01-04 16:07:19.514145+00,1.5,NULL,Tesla Model X,33.0,01-2021,-0.32,,
1047,Clear,PROCESSED,2021-01-04 20:05:20.733565+00,2.2,33,2064,509,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:03:41.472071+00,2021-01-04 20:04:21.400249+00,0.7,NULL,Tesla Model X,33.0,01-2021,-0.14,,
1048,Stop sign,PROCESSED,2021-01-04 20:05:20.761991+00,2.3,33,1911,487,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.681863+00,2021-01-03 11:05:20.681865+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1048,Stop sign,PROCESSED,2021-01-04 20:05:20.761991+00,2.3,33,2007,487,Stop sign,FALSE,TRUE,sanfrancisco,2021-01-04 16:04:00.501546+00,2021-01-04 16:05:52.13129+00,1.9,NULL,Tesla Model X,33.0,01-2021,0.08,,
1048,Stop sign,PROCESSED,2021-01-04 20:05:20.761991+00,2.3,33,2063,487,Stop sign,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:03:19.156262+00,2021-01-04 20:03:41.346244+00,0.4,NULL,Tesla Model X,33.0,01-2021,-0.44,,
1049,Stop sign,PROCESSED,2021-01-04 20:05:20.788477+00,0.6,33,1920,496,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.852054+00,2021-01-03 11:05:20.852056+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1049,Stop sign,PROCESSED,2021-01-04 20:05:20.788477+00,0.6,33,2006,496,Stop sign,FALSE,TRUE,sanfrancisco,2021-01-04 16:03:30.954164+00,2021-01-04 16:04:00.369011+00,0.5,NULL,Tesla Model X,33.0,01-2021,-1.32,,
1049,Stop sign,PROCESSED,2021-01-04 20:05:20.788477+00,0.6,33,2061,496,Stop sign,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:03:16.063382+00,2021-01-04 20:03:19.069858+00,0.1,NULL,Tesla Model X,33.0,01-2021,-0.74,,
1050,Car ahead,PROCESSED,2021-01-04 20:05:20.814017+00,2.4,33,1948,524,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.280185+00,2021-01-03 11:05:21.280187+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1050,Car ahead,PROCESSED,2021-01-04 20:05:20.814017+00,2.4,33,2005,524,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 16:01:30.520076+00,2021-01-04 16:03:30.789039+00,2,NULL,Tesla Model X,33.0,01-2021,0.18,,
1050,Car ahead,PROCESSED,2021-01-04 20:05:20.814017+00,2.4,33,2060,524,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:02:02.725214+00,2021-01-04 20:02:29.667448+00,0.4,NULL,Tesla Model X,33.0,01-2021,-0.44,,
1051,Stop sign,PROCESSED,2021-01-04 20:05:20.840004+00,2.2,33,1947,523,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.264196+00,2021-01-03 11:05:21.264198+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1051,Stop sign,PROCESSED,2021-01-04 20:05:20.840004+00,2.2,33,2004,523,Stop sign,FALSE,TRUE,sanfrancisco,2021-01-04 15:59:31.962817+00,2021-01-04 16:01:30.327924+00,2,NULL,Tesla Model X,33.0,01-2021,0.18,,
1051,Stop sign,PROCESSED,2021-01-04 20:05:20.840004+00,2.2,33,2059,523,Stop sign,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:01:31.586153+00,2021-01-04 20:01:43.412632+00,0.2,NULL,Tesla Model X,33.0,01-2021,-0.64,,
1052,Car ahead,PROCESSED,2021-01-04 20:05:20.864832+00,2.3,33,1919,495,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.832795+00,2021-01-03 11:05:20.832797+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1052,Car ahead,PROCESSED,2021-01-04 20:05:20.864832+00,2.3,33,2003,495,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 15:57:39.796711+00,2021-01-04 15:59:31.771517+00,1.9,NULL,Tesla Model X,33.0,01-2021,0.08,,
1052,Car ahead,PROCESSED,2021-01-04 20:05:20.864832+00,2.3,33,2058,495,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:01:07.612323+00,2021-01-04 20:01:31.440783+00,0.4,NULL,Tesla Model X,33.0,01-2021,-0.44,,
1053,Clear,PROCESSED,2021-01-04 20:05:20.890903+00,1.5,33,1932,508,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.033159+00,2021-01-03 11:05:21.033161+00,0,NULL,Tesla Model X,33.0,01-2021,0.00,,
1053,Clear,PROCESSED,2021-01-04 20:05:20.890903+00,1.5,33,2002,508,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 15:56:47.090328+00,2021-01-04 15:57:39.614336+00,0.9,NULL,Tesla Model X,33.0,01-2021,-0.92,,
1053,Clear,PROCESSED,2021-01-04 20:05:20.890903+00,1.5,33,2056,508,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 19:59:45.234908+00,2021-01-04 20:00:23.060177+00,0.6,NULL,Tesla Model X,33.0,01-2021,-0.24,,
1054,Traffic light,PROCESSED,2021-01-04 20:10:20.680467+00,1.8,33.1,1923,499,NULL,FALSE,FALSE,bot,2021-01-03 11:05:20.894532+00,2021-01-03 11:05:20.894534+00,0,NULL,Tesla Model X,33.1,01-2021,0.00,,
1054,Traffic light,PROCESSED,2021-01-04 20:10:20.680467+00,1.8,33.1,2018,499,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 16:25:26.860963+00,2021-01-04 16:26:44.190777+00,1.3,NULL,Tesla Model X,33.1,01-2021,-0.52,,
1054,Traffic light,PROCESSED,2021-01-04 20:10:20.680467+00,1.8,33.1,2075,499,Traffic light,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:09:35.448263+00,2021-01-04 20:10:03.364139+00,0.5,NULL,Tesla Model X,33.1,01-2021,-0.34,,
1055,Car ahead,PROCESSED,2021-01-04 20:10:20.708296+00,2,33.1,1938,514,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.125077+00,2021-01-03 11:05:21.125079+00,0,NULL,Tesla Model X,33.1,01-2021,0.00,,
1055,Car ahead,PROCESSED,2021-01-04 20:10:20.708296+00,2,33.1,2017,514,Car ahead,FALSE,TRUE,sanfrancisco,2021-01-04 16:23:54.94649+00,2021-01-04 16:25:26.706015+00,1.5,NULL,Tesla Model X,33.1,01-2021,-0.32,,
1055,Car ahead,PROCESSED,2021-01-04 20:10:20.708296+00,2,33.1,2074,514,Car ahead,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:09:04.884545+00,2021-01-04 20:09:35.344481+00,0.5,NULL,Tesla Model X,33.1,01-2021,-0.34,,
1056,Clear,PROCESSED,2021-01-04 20:10:20.741464+00,3.7,32.1,1957,533,NULL,FALSE,FALSE,bot,2021-01-03 12:05:20.720882+00,2021-01-03 12:05:20.720887+00,0,NULL,Tesla Model X,32.0,01-2021,0.00,,
1056,Clear,PROCESSED,2021-01-04 20:10:20.741464+00,3.7,32.1,2016,533,Clear,FALSE,TRUE,sanfrancisco,2021-01-04 16:20:41.571904+00,2021-01-04 16:23:54.780558+00,3.2,NULL,Tesla Model X,32.0,01-2021,1.38,,
1056,Clear,PROCESSED,2021-01-04 20:10:20.741464+00,3.7,32.1,2073,533,Clear,TRUE,TRUE,sanfrancisco_reviewer,2021-01-04 20:08:37.598266+00,2021-01-04 20:09:04.772479+00,0.5,NULL,Tesla Model X,32.0,01-2021,-0.34,,
1057,Traffic light,PROCESSED,2021-01-04 20:10:20.769682+00,2.1,33.1,1937,513,NULL,FALSE,FALSE,bot,2021-01-03 11:05:21.113197+00,2021-01-03 11:05:21.113199+00,0,NULL,Tesla Model X,33.1,01-2021,0.00,,
1057,Traffic light,PROCESSED,2021-01-04 20:10:20.769682+00,2.1,33.1,2015,513,Traffic light,FALSE,TRUE,sanfrancisco,2021-01-04 16:19:05.945621+00,2021-01-04 16:20:41.364598+00,1.6,NULL,Tesla Model X,33.1,01-2021,-0.22,,
